,Id,Sentiment,Instagram Comment Text,text_clean
0,1,negative, <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,tolol gak hubung gugur dgn pake hijab syar lo bilang bayi panas dalem gak hubung woyyyy otak jempol lo gak singkron nulis komentar
1,2,negative,Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,geblek lo tatacowo bgt bain balikanhadewwntar tinggal lg nyalahin tuh cowopadahal kitenya oon
2,3,negative,Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,kmrn mewek skr lengket lg duhhh labil bgt mbak kya abege ajah ato kmrn cari sensasi biar top markotoppp ertong gk kualitas
3,4,negative,"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",inti kesel att gausah anak kasi kembang psikis anak depan orang bener bener tolol skrg anak anak dikatain orang benci gimana rasa benci tau batesnya nama manusia gaakan suka haters
4,5,negative,"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",hadewwwww permpuan lgsakit jiwaknp jd peran utama film hantu jeruk purutky khabis stok artis ja
5,6,negative,"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",pantesan tinggalin laki laki mikir perempuan kayagni ngurus gak becus gimana ngurus anak mending anak bapake bener didik
6,7,negative,"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",biasa balajaer nyampah d ig artissuka ig bikin caption apakok balajaer heboh asik ceramahin igtar d bikinin lagu sm teh melly loh balajaer berjudulketika balajaer bersabdademi seonggak koin laknat nyabalajaer ngamuk iya koin laknat jd goda d rt gigiduh elah balajaer smua tau kale laku biduan lo kek apaminus segalanyalagi d bela matianpd sakit jiwa
7,8,negative,krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,krn besar rakyat indonesia bodoh tdk beda buruk sdh tau prilaku buruk tdk tau sopan santun pilih jd panutan idola murah dr pd kelas ber etika
8,9,negative,ayu janda bego pny suami kpn nikah laginya?,ayu janda bego pny suami kpn nikah lagi
9,10,negative,"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",anyiennnnggg suara ancur merdu tukang goreng
10,11,negative,"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",syarat sah nikah agama islam cpp cpw saksi wali nikah kawinmahar perkara makeup gak manglingi syarat sah nikah gak makeup syarat penuh nikah sah yak emak emak julids
11,12,negative,"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",cewek gatau nih ngerebut pacar org udh abang ngedukung sifat jelek lg ckck
